OKRAJ,DeSUS,DL,ED - NPS,ZDRUŽENA LEVICA,LGS,NSi,PIRATSKA STRANKA,PS,SD,SDS,SNS,SLS,SMC,HS,VERJAMEM,ZAAB,ZELENI
2008,0.0784,0.0046,0.0019,0.055,0.0,0.053,0.0182,0.0339,0.0524,0.2337,0.0117,0.03,0.3641,0.0,0.0043,0.0542,0.0046
2009,0.1004,0.0059,0.0014,0.0517,0.0,0.0675,0.0146,0.0153,0.1113,0.2328,0.0126,0.0341,0.2974,0.0,0.0071,0.0429,0.005
2010,0.0935,0.0066,0.0023,0.0834,0.0,0.041,0.0163,0.0292,0.0964,0.1746,0.0111,0.0156,0.3444,0.0,0.0106,0.0687,0.0065
2011,0.0725,0.0033,0.0018,0.0546,0.0,0.124,0.0174,0.0208,0.0664,0.2946,0.0136,0.0238,0.2551,0.0,0.0134,0.0331,0.0054
3001,0.0607,0.0147,0.0031,0.0546,0.0,0.1028,0.0,0.0233,0.045,0.2543,0.0168,0.0374,0.3264,0.0,0.0086,0.047,0.005
3002,0.0787,0.0066,0.0022,0.0658,0.0,0.0675,0.0221,0.0342,0.0448,0.2111,0.0179,0.0259,0.3747,0.0,0.0065,0.038,0.0041
3003,0.0742,0.0042,0.0021,0.0578,0.0,0.0547,0.0165,0.041,0.0369,0.2523,0.0188,0.0425,0.3524,0.0,0.006,0.037,0.0036
3004,0.0621,0.0058,0.0015,0.0795,0.0,0.0497,0.0172,0.0747,0.0404,0.1919,0.0119,0.0146,0.3838,0.0,0.0077,0.0534,0.0056
3005,0.071,0.0064,0.0014,0.0822,0.0,0.0405,0.015,0.0464,0.0487,0.1706,0.0103,0.0131,0.4292,0.0,0.008,0.0517,0.0054
3006,0.056,0.0063,0.0018,0.0692,0.0,0.086,0.0166,0.0293,0.0357,0.262,0.0136,0.0252,0.3426,0.0,0.0097,0.0418,0.0043
3007,0.0437,0.0054,0.0016,0.1233,0.0,0.0521,0.0194,0.0594,0.0584,0.1596,0.0071,0.0104,0.3876,0.0,0.0066,0.0598,0.0056
3008,0.0763,0.0069,0.0021,0.0957,0.0,0.0364,0.0231,0.0607,0.0603,0.1401,0.0125,0.0091,0.4047,0.0,0.0096,0.0575,0.0048
3009,0.0761,0.0079,0.0014,0.0831,0.0,0.0405,0.0158,0.058,0.0638,0.1478,0.0099,0.0116,0.4076,0.0,0.0087,0.0634,0.0045
3010,0.0657,0.0063,0.0019,0.0774,0.0,0.0506,0.0211,0.0577,0.0479,0.1868,0.0127,0.0133,0.3917,0.0,0.0073,0.0549,0.0046
3011,0.0695,0.0076,0.0,0.0569,0.0,0.071,0.018,0.0385,0.041,0.2161,0.0188,0.0225,0.3748,0.0,0.0098,0.0503,0.0054
4001,0.1078,0.0015,0.0029,0.0401,0.002,0.0499,0.0,0.0425,0.1752,0.1285,0.0261,0.0198,0.3577,0.0,0.0082,0.0338,0.0039
4002,0.0645,0.0021,0.0029,0.0345,0.0015,0.1032,0.0094,0.0151,0.0301,0.3211,0.0197,0.1097,0.2491,0.0,0.0041,0.0286,0.0044
4003,0.0603,0.0043,0.0017,0.0391,0.0028,0.0671,0.0119,0.021,0.0291,0.3557,0.0154,0.0384,0.3155,0.0,0.0052,0.0282,0.0042
4004,0.0916,0.0053,0.0022,0.0512,0.0011,0.0392,0.0098,0.0331,0.0349,0.2133,0.025,0.1188,0.3264,0.0,0.0075,0.0368,0.0037
4005,0.0773,0.0051,0.0032,0.0642,0.0017,0.0579,0.0256,0.0626,0.0393,0.2063,0.0173,0.0241,0.3622,0.0,0.007,0.0406,0.0057
4006,0.0989,0.0047,0.0023,0.0959,0.0011,0.0358,0.0151,0.1078,0.0538,0.1168,0.0121,0.0099,0.381,0.0,0.0096,0.0503,0.0048
4007,0.0864,0.004,0.0016,0.0778,0.002,0.0401,0.0287,0.0819,0.0488,0.1601,0.0135,0.016,0.3751,0.0,0.0068,0.053,0.0042
4008,0.072,0.0065,0.002,0.0768,0.0012,0.0581,0.0159,0.046,0.0539,0.179,0.0122,0.0138,0.3971,0.0,0.0065,0.0542,0.0048
4009,0.0738,0.0055,0.0024,0.0995,0.0017,0.038,0.022,0.0681,0.0637,0.1426,0.0118,0.0101,0.3908,0.0,0.0074,0.0577,0.0049
4010,0.0853,0.0083,0.0025,0.0492,0.0016,0.0986,0.0185,0.0251,0.0377,0.2069,0.0239,0.0342,0.3528,0.0,0.0066,0.0434,0.0055
4011,0.0903,0.0068,0.0,0.0655,0.0021,0.066,0.0195,0.0354,0.0366,0.1834,0.0186,0.0175,0.4011,0.0,0.009,0.0446,0.0036
5001,0.1062,0.0036,0.0039,0.0402,0.0,0.045,0.0,0.0105,0.043,0.2535,0.0224,0.0583,0.3659,0.0,0.0095,0.0296,0.0084
5002,0.1277,0.0039,0.0029,0.0563,0.0,0.0476,0.0169,0.022,0.0367,0.2199,0.0248,0.0508,0.3393,0.0,0.0071,0.0383,0.0059
5003,0.1368,0.0042,0.003,0.0644,0.0,0.028,0.0187,0.0329,0.0518,0.1724,0.0172,0.0246,0.381,0.0,0.0085,0.0491,0.0072
